Created by Downsizer
////////////////////////////////////////////////////////////
// Station metadata (listed in the same order as the data):
// ID Name
// 1 - Estero Catemu en Santa Rosa
// 2 - Estero Pocuro en El Sifon
// 3 - Rio Aconcagua en Chacabuquito
// 4 - Rio Aconcagua en Puente Colmo
// 5 - Rio Aconcagua en Rio Blanco
// 6 - Rio Aconcagua en Romeral
// 7 - Rio Aconcagua en San Felipe
// 8 - Rio Blanco en Rio Blanco
// 9 - Rio Colorado en Rio Colorado
// 10 - Rio Putaendo en Resguardo Los Patos
////////////////////////////////////////////////////////////
// Unit: temperature = "fahrenheit " precipitation = in per "day " runoff = ft3 per "sec " elevation = meters
////////////////////////////////////////////////////////////
tmax 0

tmin 0

precip 0

runoff 10

########################################
1990 2 15 0 0 0 48.1 8.8 908.3 752.8 752.8 752.8 255.5 303.6 6.4 108.9
1990 2 16 0 0 0 47 8.8 887.1 731.6 731.6 731.6 265.4 288.7 38.2 108.9
1990 2 17 0 0 0 49.8 8.5 865.9 692.7 692.7 692.7 298.3 272.8 51.6 107.4
1990 2 18 0 0 0 53 8.8 844.6 692.7 692.7 692.7 385.2 259.8 37.8 106
1990 2 19 0 0 0 53 8.8 766.9 636.1 636.1 636.1 339.6 211 11.3 106
1990 2 20 0 0 0 49.8 8.5 724.5 614.9 614.9 614.9 243.5 202.9 10.2 102.5
1990 2 21 0 0 0 48.8 8.5 759.8 671.5 671.5 671.5 193 236.8 6.7 99.7
1990 2 22 0 0 0 50.9 8.8 770.4 653.8 653.8 653.8 252.3 211.7 6.7 99
1990 2 23 0 0 0 50.9 8.5 703.3 579.6 579.6 579.6 250.2 180.2 18.4 99.7
1990 2 24 0 0 0 51.2 8.1 738.6 565.5 565.5 565.5 144.5 173.9 14.5 101.8
1990 2 25 0 0 0 53.4 7.8 675 540.7 540.7 540.7 124 165.7 7.4 97.9
1990 2 26 0 0 0 49.8 7.8 696.2 565.5 565.5 565.5 101.1 174.9 6.4 96.5
1990 2 27 0 0 0 49.5 7.8 728 614.9 614.9 614.9 56.5 205 5.7 95.8
